QNAME	flags	qualifiedLen_Java	qualifiedLen_Rust	threshold_Java	threshold_Rust	max_ll_J_float	max_ll_J_double	max_ll_R_f64	winner_Java	winner_Rust	decision_Java	decision_Rust	extra_retain
HISEQ1:11:H8GV6ADXX:1:1104:4186:41128	83	19	19	-4.0	-4.0	-2.5648002624511719e0	-2.5647984847722114e0	-2.5647984867460423e0	c271d95dba362ffb	c271d95dba362ffb	KEEP	KEEP	false
HISEQ1:11:H8GV6ADXX:1:1104:4186:41128	163	46	46	-4.0	-4.0	-2.5791206359863281e0	-2.5791215922865263e0	-2.5791215977289994e0	a849791c2b4203ee	a849791c2b4203ee	KEEP	KEEP	false
HISEQ1:11:H8GV6ADXX:1:1108:6005:20931	83	61	61	-8.0	-8.0	-2.5823097229003906e0	-2.5823084799208118e0	-2.5823084865514829e0	c271d95dba362ffb	c271d95dba362ffb	KEEP	KEEP	false
HISEQ1:11:H8GV6ADXX:1:1115:13623:100958	147	131	131	-8.0	-8.0	-2.6373558044433594e0	-2.6373547376443298e0	-2.6373547530304222e0	c271d95dba362ffb	1dd66445a07ff86c	KEEP	KEEP	false
HISEQ1:11:H8GV6ADXX:1:1116:4033:65919	147	93	93	-8.0	-8.0	-1.6036947250366211e1	-1.6036947386726695e1	-1.6036947398990833e1	a849791c2b4203ee	a849791c2b4203ee	DROP	DROP	false
HISEQ1:11:H8GV6ADXX:1:1201:12241:62342	83	148	148	-8.0	-8.0	-2.6491508483886719e0	-2.6491491108012042e0	-2.6491491285522102e0	c271d95dba362ffb	c271d95dba362ffb	KEEP	KEEP	false
HISEQ1:11:H8GV6ADXX:1:1201:12241:62342	163	112	112	-8.0	-8.0	-2.6356315612792969e0	-2.6356308390333538e0	-2.6356308535571884e0	24c70f85fc3bc595	24c70f85fc3bc595	KEEP	KEEP	false
HISEQ1:11:H8GV6ADXX:1:1203:17733:55670	147	63	63	-8.0	-8.0	-2.6134185791015625e0	-2.6134201500858580e0	-2.6134201585154528e0	009b3e4fc3c00bfa	009b3e4fc3c00bfa	KEEP	KEEP	false
HISEQ1:11:H8GV6ADXX:1:1204:16745:38126	147	148	148	-8.0	-8.0	-2.6464157104492188e0	-2.6464165590753055e0	-2.6464165766171845e0	1dd66445a07ff86c	1dd66445a07ff86c	KEEP	KEEP	false
HISEQ1:11:H8GV6ADXX:1:1210:3128:10108	147	104	104	-8.0	-8.0	-2.6366310119628906e0	-2.6366313838239535e0	-2.6366313975307776e0	24c70f85fc3bc595	24c70f85fc3bc595	KEEP	KEEP	false
HISEQ1:11:H8GV6ADXX:1:1213:10338:76652	163	38	38	-4.0	-4.0	-2.5956687927246094e0	-2.5956698091198405e0	-2.5956698137956096e0	c271d95dba362ffb	e21e56f2bb86a60b	KEEP	KEEP	false
HISEQ1:11:H8GV6ADXX:1:2104:1513:33781	83	55	55	-8.0	-8.0	-2.5992050170898438e0	-2.5992059975741881e0	-2.5992060050277246e0	009b3e4fc3c00bfa	c59cd4408a696108	KEEP	KEEP	false
HISEQ1:11:H8GV6ADXX:1:2106:20088:100260	83	148	148	-8.0	-8.0	-2.6477317810058594e0	-2.6477303419553095e0	-2.6477303615297956e0	65ecab37015c4ded	65ecab37015c4ded	KEEP	KEEP	false
HISEQ1:11:H8GV6ADXX:1:2114:19510:54830	147	114	114	-8.0	-8.0	-2.6256332397460938e0	-2.6256314793320144e0	-2.6256314920843806e0	5c14fc1598ce818a	5c14fc1598ce818a	KEEP	KEEP	false
HISEQ1:11:H8GV6ADXX:1:2116:18670:99941	147	55	55	-8.0	-8.0	-2.6138305664062500e0	-2.6138318077008194e0	-2.6138318150888722e0	5c15d6193ce64f9f	c59cd4408a696108	KEEP	KEEP	false
HISEQ1:11:H8GV6ADXX:1:2205:11286:28668	147	21	21	-4.0	-4.0	-2.5729637145996094e0	-2.5729649355762945e0	-2.5729649383941933e0	a849791c2b4203ee	a849791c2b4203ee	KEEP	KEEP	false
HISEQ1:11:H8GV6ADXX:1:2208:12360:9637	99	148	148	-8.0	-8.0	-2.6487007141113281e0	-2.6487016791217570e0	-2.6487016997205046e0	65ecab37015c4ded	65ecab37015c4ded	KEEP	KEEP	false
HISEQ1:11:H8GV6ADXX:1:2208:19582:60012	83	23	23	-4.0	-4.0	-2.5722885131835938e0	-2.5722886801410709e0	-2.5722886832516565e0	a849791c2b4203ee	a849791c2b4203ee	KEEP	KEEP	false
HISEQ1:11:H8GV6ADXX:1:2208:2136:93903	147	148	148	-8.0	-8.0	-2.8983840942382812e0	-2.8983857883026189e0	-2.8983858075117723e0	c271d95dba362ffb	c271d95dba362ffb	KEEP	KEEP	false
HISEQ1:11:H8GV6ADXX:1:2210:16806:13851	83	121	121	-8.0	-8.0	-2.6447334289550781e0	-2.6447330812343921e0	-2.6447330972665100e0	24c70f85fc3bc595	24c70f85fc3bc595	KEEP	KEEP	false
HISEQ1:11:H8GV6ADXX:2:1102:6012:55560	147	148	148	-8.0	-8.0	-1.8581333160400391e1	-1.8581331946484966e1	-1.8581331963409639e1	24c70f85fc3bc595	24c70f85fc3bc595	DROP	DROP	false
HISEQ1:11:H8GV6ADXX:2:1106:10317:23362	99	18	18	-4.0	-4.0	-2.6934089660644531e0	-2.6934102710156367e0	-2.6934102732127485e0	a849791c2b4203ee	c59cd4408a696108	KEEP	KEEP	false
HISEQ1:11:H8GV6ADXX:2:1108:16790:21960	83	148	148	-8.0	-8.0	-9.6997337341308594e0	-9.6997335632460704e0	-9.6997335808743514e0	ecd9cfeb09b64cc9	ecd9cfeb09b64cc9	DROP	DROP	false
