contig	pos	smoothed_active_prob
chrLive	1	0.01676806
chrLive	2	0.01756992
chrLive	3	0.01834654
chrLive	4	0.01909131
chrLive	5	0.01979770
chrLive	6	0.02045930
chrLive	7	0.02106998
chrLive	8	0.02162394
chrLive	9	0.02211580
chrLive	10	0.02254072
chrLive	11	0.02289445
chrLive	12	0.02317340
chrLive	13	0.02337473
chrLive	14	0.02349637
chrLive	15	0.02353705
chrLive	16	0.02349637
chrLive	17	0.02337473
chrLive	18	0.02317340
chrLive	19	0.02289445
chrLive	20	0.02254072
chrLive	21	0.02211580
chrLive	22	0.02162394
chrLive	23	0.02106998
chrLive	24	0.02045930
chrLive	25	0.01979770
chrLive	26	0.01909131
chrLive	27	0.01834654
chrLive	28	0.01756992
chrLive	29	0.01676806
chrLive	30	0.01594751
chrLive	31	0.01511472
chrLive	32	0.01427595
chrLive	33	0.01343714
chrLive	34	0.01260393
chrLive	35	0.01178155
chrLive	36	0.01097478
chrLive	37	0.01018795
chrLive	38	0.00942486
chrLive	39	0.00868881
chrLive	40	0.00798258
chrLive	41	0.00730841
chrLive	42	0.00666807
chrLive	43	0.00606282
chrLive	44	0.00549346
chrLive	45	0.00496038
chrLive	46	0.00446356
chrLive	47	0.00400262
chrLive	48	0.00357689
chrLive	49	0.00318539
chrLive	50	0.00282695
chrLive	51	0.00250018
chrLive	52	0.00220354
chrLive	53	0.00193538
chrLive	54	0.00169399
chrLive	55	0.00147759
chrLive	56	0.00128437
chrLive	57	0.00111257
chrLive	58	0.00096042
chrLive	59	0.00082621
chrLive	60	0.00070830
chrLive	61	0.00060512
chrLive	62	0.00051519
chrLive	63	0.00043710
