# class	case_id	reads_fixture	expected_candidates
simple-snp	simple_001	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
simple-snp	simple_002	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
simple-snp	simple_003	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
simple-snp	simple_004	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
simple-snp	simple_005	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
simple-snp	simple_006	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
simple-snp	simple_007	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
simple-snp	simple_008	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
simple-snp	simple_009	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
simple-snp	simple_010	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
simple-snp	simple_011	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
simple-snp	simple_012	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
simple-snp	simple_013	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
simple-snp	simple_014	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
simple-snp	simple_015	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
simple-snp	simple_016	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
simple-snp	simple_017	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
simple-snp	simple_018	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
simple-snp	simple_019	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
simple-snp	simple_020	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
mixed-indel	mixed_001	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
mixed-indel	mixed_002	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
mixed-indel	mixed_003	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
mixed-indel	mixed_004	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
mixed-indel	mixed_005	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
mixed-indel	mixed_006	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
mixed-indel	mixed_007	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
mixed-indel	mixed_008	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
mixed-indel	mixed_009	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
mixed-indel	mixed_010	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
mixed-indel	mixed_011	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
mixed-indel	mixed_012	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
mixed-indel	mixed_013	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
mixed-indel	mixed_014	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
mixed-indel	mixed_015	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
mixed-indel	mixed_016	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
mixed-indel	mixed_017	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
mixed-indel	mixed_018	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
mixed-indel	mixed_019	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
mixed-indel	mixed_020	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
repeat	repeat_001	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
repeat	repeat_002	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
repeat	repeat_003	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
repeat	repeat_004	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
repeat	repeat_005	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
repeat	repeat_006	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
repeat	repeat_007	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
repeat	repeat_008	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
repeat	repeat_009	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
repeat	repeat_010	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
repeat	repeat_011	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
repeat	repeat_012	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
repeat	repeat_013	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
repeat	repeat_014	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
repeat	repeat_015	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
repeat	repeat_016	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
repeat	repeat_017	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
repeat	repeat_018	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
repeat	repeat_019	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
repeat	repeat_020	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
homopolymer	hpoly_001	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
homopolymer	hpoly_002	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
homopolymer	hpoly_003	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
homopolymer	hpoly_004	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
homopolymer	hpoly_005	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
homopolymer	hpoly_006	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
homopolymer	hpoly_007	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
homopolymer	hpoly_008	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
homopolymer	hpoly_009	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
homopolymer	hpoly_010	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
homopolymer	hpoly_011	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
homopolymer	hpoly_012	p5_assembly_case1_reads.tsv	p5_assembly_case1.java_candidates.tsv
