stage	path	n_fns	status	notes
01_genotype	gatk-haplotypecaller/src/af_calc.rs	11	audited	
01_genotype	gatk-haplotypecaller/src/emit_gates.rs	9	audited	
01_genotype	gatk-haplotypecaller/src/genotyping.rs	80	audited	
01_genotype	gatk-haplotypecaller/src/hc_allele_mapping.rs	11	audited	
01_genotype	gatk-haplotypecaller/src/hc_emit_policy.rs	5	audited	
01_genotype	gatk-haplotypecaller/src/hc_genotyping_engine/config.rs	9	audited	
01_genotype	gatk-haplotypecaller/src/hc_genotyping_engine/genotype_assign.rs	5	audited	
01_genotype	gatk-haplotypecaller/src/hc_genotyping_engine/genotype_finalize.rs	21	audited	
01_genotype	gatk-haplotypecaller/src/hc_genotyping_engine/genotype_finalize_java.rs	1	audited	
01_genotype	gatk-haplotypecaller/src/hc_genotyping_engine/genotype_finalize_l11.rs	2	audited	
01_genotype	gatk-haplotypecaller/src/hc_genotyping_engine/genotype_site_early_template.rs	1	audited	
01_genotype	gatk-haplotypecaller/src/hc_genotyping_engine/genotype_site_map.rs	1	audited	
01_genotype	gatk-haplotypecaller/src/hc_genotyping_engine/genotype_site_pileup_rescue.rs	1	audited	
01_genotype	gatk-haplotypecaller/src/hc_genotyping_engine/genotype_site_pipeline.rs	8	audited	
01_genotype	gatk-haplotypecaller/src/hc_genotyping_engine/genotype_site_reshape.rs	1	audited	
01_genotype	gatk-haplotypecaller/src/hc_genotyping_engine/genotype_site_score.rs	3	audited	
01_genotype	gatk-haplotypecaller/src/hc_genotyping_engine/mod.rs	85	audited	
01_genotype	gatk-haplotypecaller/src/hc_genotyping_engine/semantics.rs	2	audited	
01_genotype	gatk-haplotypecaller/src/hc_genotyping_engine/sparse_pl_shape.rs	7	audited	
01_genotype	gatk-haplotypecaller/src/minimal_genotyping.rs	4	audited	
02_pairhmm	gatk-haplotypecaller/src/engine_pairhmm_post_process_tests.rs	2	audited	
02_pairhmm	gatk-haplotypecaller/src/likelihood_engine.rs	14	audited	
02_pairhmm	gatk-haplotypecaller/src/pairhmm.rs	21	audited	
02_pairhmm	gatk-haplotypecaller/src/pairhmm_log10.rs	25	audited	
02_pairhmm	gatk-haplotypecaller/src/pairhmm_logless.rs	21	audited	
02_pairhmm	gatk-haplotypecaller/src/pairhmm_qual.rs	4	audited	
02_pairhmm	gatk-haplotypecaller/src/pairhmm_simd/avx2.rs	6	audited	
02_pairhmm	gatk-haplotypecaller/src/pairhmm_simd/dispatch.rs	6	audited	
02_pairhmm	gatk-haplotypecaller/src/pairhmm_simd/mod.rs	1	audited	
02_pairhmm	gatk-haplotypecaller/src/pairhmm_simd/neon.rs	7	audited	
02_pairhmm	gatk-haplotypecaller/src/pairhmm_simd/pack.rs	13	audited	
02_pairhmm	gatk-haplotypecaller/src/pcr_error_model.rs	6	audited	
03_sw_cigar	gatk-haplotypecaller/src/cigar.rs	14	audited	
03_sw_cigar	gatk-haplotypecaller/src/cigar_builder.rs	7	audited	
03_sw_cigar	gatk-haplotypecaller/src/haplotype_cigar.rs	33	audited	
03_sw_cigar	gatk-haplotypecaller/src/read_projection.rs	14	audited	
03_sw_cigar	gatk-haplotypecaller/src/read_realignment.rs	20	audited	
03_sw_cigar	gatk-haplotypecaller/src/read_unclip.rs	39	audited	
03_sw_cigar	gatk-haplotypecaller/src/smith_waterman.rs	20	audited	
