stage	path	fn	line	verdict	note
01_genotype	gatk-haplotypecaller/src/af_calc.rs	calculate_biallelic_af_em	132	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/af_calc.rs	calculate_multiallelic_af_em	259	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/af_calc.rs	default	56	tight	short leaf; no safe absolute-speed win
01_genotype	gatk-haplotypecaller/src/af_calc.rs	diploid_genotype_allele_counts	75	tight	short leaf; no safe absolute-speed win
01_genotype	gatk-haplotypecaller/src/af_calc.rs	diploid_genotype_pairs	202	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/af_calc.rs	effective_allele_counts_biallelic	106	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/af_calc.rs	effective_allele_counts_multi	234	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/af_calc.rs	log10_dirichlet_mean_weights	67	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/af_calc.rs	log10_normalized_genotype_posteriors_biallelic	83	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/af_calc.rs	log10_normalized_genotype_posteriors_multi	212	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/af_calc.rs	qual_from_log10_p_no_variant	351	tight	trivial getter/ctor
01_genotype	gatk-haplotypecaller/src/emit_gates.rs	gl_for_java_af_calculation	44	tight	trivial getter/ctor
01_genotype	gatk-haplotypecaller/src/emit_gates.rs	java_emit_would_pass	91	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/emit_gates.rs	passes_cluster_anchor_read_support	27	tight	trivial getter/ctor
01_genotype	gatk-haplotypecaller/src/emit_gates.rs	passes_emit_for_variation_event	114	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/emit_gates.rs	passes_hc_variant_emit_biallelic	70	tight	short leaf; no safe absolute-speed win
01_genotype	gatk-haplotypecaller/src/emit_gates.rs	passes_hc_variant_emit_biallelic_inner	48	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/emit_gates.rs	passes_java_emit_not_hom_ref	78	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/emit_gates.rs	passes_read_style_sparse_emit	33	tight	short leaf; no safe absolute-speed win
01_genotype	gatk-haplotypecaller/src/emit_gates.rs	qual_to_error_prob_log10	18	tight	short leaf; no safe absolute-speed win
01_genotype	gatk-haplotypecaller/src/genotyping.rs	ad_as_i32	206	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/genotyping.rs	aggregate_haplotype_log10_likelihoods	44	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/genotyping.rs	aggregation_rejects_haplotype_width_mismatch	1362	tight	short leaf; no safe absolute-speed win
01_genotype	gatk-haplotypecaller/src/genotyping.rs	aggregation_skips_non_finite_likelihoods	1378	tight	short leaf; no safe absolute-speed win
01_genotype	gatk-haplotypecaller/src/genotyping.rs	aggregation_sums_log10_likelihoods_per_haplotype	1334	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/genotyping.rs	allele_to_gt_token	575	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/genotyping.rs	best_biallelic_diploid_genotype_index	1242	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/genotyping.rs	best_haplotype_index	87	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/genotyping.rs	biallelic_diploid_log10_priors	124	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/genotyping.rs	biallelic_genotype_fields_cardinality_and_shape	1442	tight	short leaf; no safe absolute-speed win
01_genotype	gatk-haplotypecaller/src/genotyping.rs	biallelic_genotype_index_from_pl	1218	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/genotyping.rs	biallelic_genotype_index_from_pl_i32	1232	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/genotyping.rs	biallelic_priors_are_valid_and_finite	1389	tight	short leaf; no safe absolute-speed win
01_genotype	gatk-haplotypecaller/src/genotyping.rs	build_gvcf_blocks	755	tight	short leaf; no safe absolute-speed win
01_genotype	gatk-haplotypecaller/src/genotyping.rs	build_gvcf_blocks_hc_emit	904	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/genotyping.rs	build_gvcf_blocks_java_combiner	844	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/genotyping.rs	build_gvcf_blocks_with_semantics	763	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/genotyping.rs	canonicalize_format_keys	698	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/genotyping.rs	coalesce_gvcf_blocks_for_emit	914	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/genotyping.rs	compute_core_variant_annotations	638	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/genotyping.rs	core_annotations_biallelic_ac_an_af_ns_dp	1518	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/genotyping.rs	core_annotations_multiallelic_counts_match_indices	1545	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/genotyping.rs	core_annotations_reject_invalid_alt_index	1569	tight	short leaf; no safe absolute-speed win
01_genotype	gatk-haplotypecaller/src/genotyping.rs	decide_locus_emission	977	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/genotyping.rs	default	116	tight	short leaf; no safe absolute-speed win
01_genotype	gatk-haplotypecaller/src/genotyping.rs	default	460	tight	short leaf; no safe absolute-speed win
01_genotype	gatk-haplotypecaller/src/genotyping.rs	deterministic_call_sort_orders_by_contig_then_pos_then_alleles	1704	tight	reviewed isolation; no safe absolute-speed win without algo/parity change
01_genotype	gatk-haplotypecaller/src/genotyping.rs	deterministic_sort_rejects_unknown_contig	1742	tight	short leaf; no safe absolute-speed win
