path	line	fn
gatk-cli/src/main.rs	353	join_interval_cli_args
gatk-cli/src/main.rs	365	init_haplotype_caller_threads
gatk-cli/src/main.rs	380	main
gatk-cli/src/main.rs	931	init_logging
gatk-cli/src/main.rs	940	sam_header_to_text
gatk-cli/src/main.rs	956	parse_single_region
gatk-cli/src/main.rs	985	query_bases_consumed_by_cigar
gatk-common/src/config.rs	38	parse
gatk-common/src/config.rs	63	memory_gb
gatk-common/src/config.rs	98	parse
gatk-common/src/config.rs	238	parse
gatk-common/src/config.rs	253	to_str
gatk-common/src/config.rs	264	to_tracing_level
gatk-common/src/config.rs	278	from_str
gatk-common/src/config.rs	284	default
gatk-common/src/config.rs	374	serde_default_max_prob_propagation_distance
gatk-common/src/config.rs	378	serde_default_activity_profile_max_filter_size
gatk-common/src/config.rs	382	serde_default_activity_profile_sigma
gatk-common/src/config.rs	387	default
gatk-common/src/config.rs	404	default
gatk-common/src/config.rs	420	new
gatk-common/src/config.rs	447	with_java_options
gatk-common/src/config.rs	455	with_spark_options
gatk-common/src/config.rs	463	with_all_options
gatk-common/src/config.rs	482	validate
gatk-common/src/config.rs	566	get_haplotypecaller_config
gatk-common/src/config.rs	644	set_parameter
gatk-common/src/config.rs	649	get_parameter
gatk-common/src/config.rs	654	add_input_file
gatk-common/src/config.rs	659	set_reference
gatk-common/src/config.rs	664	set_output_vcf
gatk-common/src/config.rs	669	set_output_mode
gatk-common/src/config.rs	679	test_config_creation
gatk-common/src/config.rs	686	test_config_validation
gatk-common/src/config.rs	702	test_verbosity_levels
gatk-common/src/config.rs	710	test_haplotypecaller_config
gatk-common/src/config.rs	721	assembly_region_config_deserializes_legacy_active_region_threshold_key
gatk-common/src/config.rs	740	assembly_region_config_serde_roundtrip_preserves_gatk_defaults
gatk-common/src/error.rs	34	clone
gatk-common/src/error.rs	48	new
gatk-common/src/error.rs	64	with_tool
gatk-common/src/error.rs	70	with_operation
gatk-common/src/error.rs	76	with_position
gatk-common/src/error.rs	82	with_severity
gatk-common/src/error.rs	88	add_context
gatk-common/src/error.rs	95	default
gatk-common/src/error.rs	111	boxed_ctx
gatk-common/src/error.rs	155	config_msg
gatk-common/src/error.rs	162	algorithm_msg
gatk-common/src/error.rs	170	file_format
gatk-common/src/error.rs	175	file_format_with_context
gatk-common/src/error.rs	180	parse
gatk-common/src/error.rs	189	parse_with_context
gatk-common/src/error.rs	202	validation
gatk-common/src/error.rs	207	validation_with_context
gatk-common/src/error.rs	212	algorithm
gatk-common/src/error.rs	217	algorithm_with_context
gatk-common/src/error.rs	222	memory
gatk-common/src/error.rs	227	memory_with_context
gatk-common/src/error.rs	232	configuration
gatk-common/src/error.rs	237	configuration_with_context
gatk-common/src/error.rs	242	argument
gatk-common/src/error.rs	247	argument_with_context
gatk-common/src/error.rs	252	reference
gatk-common/src/error.rs	257	reference_with_context
gatk-common/src/error.rs	262	read
gatk-common/src/error.rs	267	read_with_context
gatk-common/src/error.rs	272	variant
gatk-common/src/error.rs	277	variant_with_context
gatk-common/src/error.rs	282	statistical
gatk-common/src/error.rs	287	statistical_with_context
gatk-common/src/error.rs	292	quality
gatk-common/src/error.rs	297	quality_with_context
gatk-common/src/error.rs	302	interval
gatk-common/src/error.rs	307	interval_with_context
gatk-common/src/error.rs	312	assembly
gatk-common/src/error.rs	317	assembly_with_context
gatk-common/src/error.rs	322	alignment
gatk-common/src/error.rs	327	alignment_with_context
gatk-common/src/error.rs	332	genotype
gatk-common/src/error.rs	337	genotype_with_context
gatk-common/src/error.rs	342	haplotype
gatk-common/src/error.rs	347	haplotype_with_context
gatk-common/src/error.rs	352	generic
gatk-common/src/error.rs	357	generic_with_context
