contig	pos	active_prob	original_active_prob	kind
chrLowC	1	0	0	none
chrLowC	2	0	0	none
chrLowC	3	0	0	none
chrLowC	4	0	0	none
chrLowC	5	0	0	none
chrLowC	6	0	0	none
chrLowC	7	0	0	none
chrLowC	8	0	0	none
chrLowC	9	0	0	none
chrLowC	10	0	0	none
chrLowC	11	0	0	none
chrLowC	12	0.99998261	0.99998261	none
chrLowC	13	0	0	none
chrLowC	14	0	0	none
chrLowC	15	0	0	none
chrLowC	16	0	0	none
chrLowC	17	0	0	none
chrLowC	18	0	0	none
chrLowC	19	0	0	none
chrLowC	20	0	0	none
chrLowC	21	0	0	none
chrLowC	22	0	0	none
chrLowC	23	0	0	none
chrLowC	24	0	0	none
chrLowC	25	0	0	none
chrLowC	26	0	0	none
chrLowC	27	0	0	none
chrLowC	28	0	0	none
chrLowC	29	0	0	none
chrLowC	30	0	0	none
