contig	pos	pileup_depth
chrRepeat	1	3
chrRepeat	2	3
chrRepeat	3	3
chrRepeat	4	3
chrRepeat	5	3
chrRepeat	6	3
chrRepeat	7	3
chrRepeat	8	3
chrRepeat	9	5
chrRepeat	10	5
chrRepeat	11	5
chrRepeat	12	5
chrRepeat	13	5
chrRepeat	14	5
chrRepeat	15	5
chrRepeat	16	5
chrRepeat	17	5
chrRepeat	18	5
chrRepeat	19	5
chrRepeat	20	5
chrRepeat	21	2
chrRepeat	22	2
chrRepeat	23	2
chrRepeat	24	2
chrRepeat	25	2
chrRepeat	26	2
chrRepeat	27	2
chrRepeat	28	2
chrRepeat	29	0
chrRepeat	30	0
chrRepeat	31	0
chrRepeat	32	0
chrRepeat	33	0
chrRepeat	34	0
chrRepeat	35	0
chrRepeat	36	0
chrRepeat	37	0
chrRepeat	38	0
chrRepeat	39	0
chrRepeat	40	0
chrRepeat	41	0
chrRepeat	42	0
chrRepeat	43	0
chrRepeat	44	0
chrRepeat	45	0
chrRepeat	46	0
chrRepeat	47	0
chrRepeat	48	0
chrRepeat	49	0
chrRepeat	50	0
chrRepeat	51	0
chrRepeat	52	0
chrRepeat	53	0
chrRepeat	54	0
chrRepeat	55	0
chrRepeat	56	0
chrRepeat	57	0
chrRepeat	58	0
chrRepeat	59	0
chrRepeat	60	0
chrRepeat	61	0
chrRepeat	62	0
chrRepeat	63	0
chrRepeat	64	0
chrRepeat	65	0
chrRepeat	66	0
chrRepeat	67	0
chrRepeat	68	0
