contig	pos	smoothed_active_prob
chrRepeat	1	0.03010015
chrRepeat	2	0.03141961
chrRepeat	3	0.03269608
chrRepeat	4	0.03391997
chrRepeat	5	0.03508185
chrRepeat	6	0.03617251
chrRepeat	7	0.03718314
chrRepeat	8	0.03810540
chrRepeat	9	0.03893156
chrRepeat	10	0.03965459
chrRepeat	11	0.04026828
chrRepeat	12	0.04076729
chrRepeat	13	0.04114727
chrRepeat	14	0.04140490
chrRepeat	15	0.04153792
chrRepeat	16	0.04154519
chrRepeat	17	0.04142672
chrRepeat	18	0.04118360
chrRepeat	19	0.04081807
chrRepeat	20	0.04033341
chrRepeat	21	0.03973396
chrRepeat	22	0.03902500
chrRepeat	23	0.03821270
chrRepeat	24	0.03730404
chrRepeat	25	0.03630667
chrRepeat	26	0.03522886
chrRepeat	27	0.03407937
chrRepeat	28	0.03286729
chrRepeat	29	0.03160199
chrRepeat	30	0.03029297
chrRepeat	31	0.02894972
chrRepeat	32	0.02758166
chrRepeat	33	0.02619800
chrRepeat	34	0.02480764
chrRepeat	35	0.02341912
chrRepeat	36	0.02204048
chrRepeat	37	0.02067924
chrRepeat	38	0.01934235
chrRepeat	39	0.01803608
chrRepeat	40	0.01676605
chrRepeat	41	0.01553720
chrRepeat	42	0.01435374
chrRepeat	43	0.01321921
chrRepeat	44	0.01213643
chrRepeat	45	0.01110755
chrRepeat	46	0.01013410
chrRepeat	47	0.00921697
chrRepeat	48	0.00835651
chrRepeat	49	0.00755253
chrRepeat	50	0.00680435
chrRepeat	51	0.00611091
chrRepeat	52	0.00547075
chrRepeat	53	0.00488209
chrRepeat	54	0.00434291
chrRepeat	55	0.00385096
chrRepeat	56	0.00340381
chrRepeat	57	0.00299895
chrRepeat	58	0.00263376
chrRepeat	59	0.00230561
chrRepeat	60	0.00201183
chrRepeat	61	0.00148837
chrRepeat	62	0.00129823
chrRepeat	63	0.00112847
chrRepeat	64	0.00097752
chrRepeat	65	0.00084384
chrRepeat	66	0.00072592
chrRepeat	67	0.00062233
chrRepeat	68	0.00053167
