# case_id	position_1based	gq	dp
p8_case_a	100	8	12
p8_case_a	101	9	10
p8_case_a	102	22	9
p8_case_a	103	25	15
p8_case_b	200	5	7
p8_case_b	202	6	8
p8_case_c	300	10	20
p8_case_c	301	19	5
p8_case_c	302	11	12
p8_case_d	400	35	11
p8_case_d	401	47	14
p8_case_d	402	44	9
p8_case_e	500	130	30
p8_case_e	501	99	28
p8_case_e	502	95	31
p8_case_f	600	9	8
p8_case_f	601	10	7
p8_case_f	602	19	6
p8_case_g	700	7	50
p8_case_g	701	8	3
p8_case_g	702	6	40
p8_case_g	703	9	2
p8_case_g	704	7	60
p8_case_g	705	8	10
p8_case_g	706	5	9
p8_case_g	707	9	11
p8_case_g	708	8	7
p8_case_g	709	7	100
p8_case_h	800	8	10
p8_case_h	801	25	11
p8_case_h	802	17	12
p8_case_h	803	26	13
p8_case_h	804	99	14
p8_case_i	900	18	20
p8_case_i	901	29	21
p8_case_j	910	12	30
p8_case_j	912	13	31
