contig	pos	active_prob	original_active_prob	kind
chrLive	1	0	0	none
chrLive	2	0	0	none
chrLive	3	0	0	none
chrLive	4	0	0	none
chrLive	5	0	0	none
chrLive	6	0	0	none
chrLive	7	0	0	none
chrLive	8	0	0	none
chrLive	9	0	0	none
chrLive	10	0	0	none
chrLive	11	0	0	none
chrLive	12	0	0	none
chrLive	13	0	0	none
chrLive	14	0	0	none
chrLive	15	1.00000000	1.00000000	none
chrLive	16	0	0	none
chrLive	17	0	0	none
chrLive	18	0	0	none
chrLive	19	0	0	none
chrLive	20	0	0	none
chrLive	21	0	0	none
chrLive	22	0	0	none
chrLive	23	0	0	none
chrLive	24	0	0	none
chrLive	25	0	0	none
chrLive	26	0	0	none
chrLive	27	0	0	none
chrLive	28	0	0	none
chrLive	29	0	0	none
chrLive	30	0	0	none
chrLive	31	0	0	none
chrLive	32	0	0	none
chrLive	33	0	0	none
chrLive	34	0	0	none
chrLive	35	0	0	none
chrLive	36	0	0	none
chrLive	37	0	0	none
chrLive	38	0	0	none
chrLive	39	0	0	none
chrLive	40	0	0	none
chrLive	41	0	0	none
chrLive	42	0	0	none
chrLive	43	0	0	none
chrLive	44	0	0	none
chrLive	45	0	0	none
chrLive	46	0	0	none
chrLive	47	0	0	none
chrLive	48	0	0	none
chrLive	49	0	0	none
chrLive	50	0	0	none
chrLive	51	0	0	none
chrLive	52	0	0	none
chrLive	53	0	0	none
chrLive	54	0	0	none
chrLive	55	0	0	none
chrLive	56	0	0	none
chrLive	57	0	0	none
chrLive	58	0	0	none
chrLive	59	0	0	none
chrLive	60	0	0	none
chrLive	61	0	0	none
chrLive	62	0	0	none
chrLive	63	0	0	none
