contig	pos	smoothed_active_prob
chrLive	1	0.01979770
chrLive	2	0.02045930
chrLive	3	0.02106998
chrLive	4	0.02162394
chrLive	5	0.02211580
chrLive	6	0.02254072
chrLive	7	0.02289445
chrLive	8	0.02317340
chrLive	9	0.02337473
chrLive	10	0.02349637
chrLive	11	0.02353705
chrLive	12	0.02349637
chrLive	13	0.02337473
chrLive	14	0.02317340
chrLive	15	0.02289445
chrLive	16	0.02254072
chrLive	17	0.02211580
chrLive	18	0.02162394
chrLive	19	0.02106998
chrLive	20	0.02045930
chrLive	21	0.01979770
chrLive	22	0.01909131
chrLive	23	0.01834654
chrLive	24	0.01756992
