contig	pos	active_prob	original_active_prob	kind
chrLive	1	0	0	none
chrLive	2	0	0	none
chrLive	3	0	0	none
chrLive	4	0	0	none
chrLive	5	0	0	none
chrLive	6	0	0	none
chrLive	7	0	0	none
chrLive	8	0	0	none
chrLive	9	0	0	none
chrLive	10	0	0	none
chrLive	11	0.99999999	0.99999999	none
chrLive	12	0	0	none
chrLive	13	0	0	none
chrLive	14	0	0	none
chrLive	15	0	0	none
chrLive	16	0	0	none
chrLive	17	0	0	none
chrLive	18	0	0	none
chrLive	19	0	0	none
chrLive	20	0	0	none
chrLive	21	0	0	none
chrLive	22	0	0	none
chrLive	23	0	0	none
chrLive	24	0	0	none
