contig	pos	pileup_depth
chrLive	1	50
chrLive	2	50
chrLive	3	50
chrLive	4	50
chrLive	5	50
chrLive	6	50
chrLive	7	50
chrLive	8	50
chrLive	9	50
chrLive	10	50
chrLive	11	50
chrLive	12	50
chrLive	13	50
chrLive	14	50
chrLive	15	50
chrLive	16	50
chrLive	17	50
chrLive	18	50
chrLive	19	50
chrLive	20	50
chrLive	21	50
chrLive	22	50
chrLive	23	50
chrLive	24	50
chrLive	25	50
chrLive	26	50
chrLive	27	50
chrLive	28	50
chrLive	29	50
chrLive	30	50
chrLive	31	0
chrLive	32	0
chrLive	33	0
chrLive	34	0
chrLive	35	0
chrLive	36	0
chrLive	37	0
chrLive	38	0
chrLive	39	0
chrLive	40	0
chrLive	41	0
chrLive	42	0
chrLive	43	0
chrLive	44	0
chrLive	45	0
chrLive	46	0
chrLive	47	0
chrLive	48	0
chrLive	49	0
chrLive	50	0
chrLive	51	0
chrLive	52	0
chrLive	53	0
chrLive	54	0
chrLive	55	0
chrLive	56	0
chrLive	57	0
chrLive	58	0
chrLive	59	0
chrLive	60	0
chrLive	61	0
chrLive	62	0
chrLive	63	0
