contig	pos	active_prob	original_active_prob	kind
chrRepeat	1	0	0	none
chrRepeat	2	0	0	none
chrRepeat	3	0	0	none
chrRepeat	4	0	0	none
chrRepeat	5	0	0	none
chrRepeat	6	0	0	none
chrRepeat	7	0	0	none
chrRepeat	8	0	0	none
chrRepeat	9	0	0	none
chrRepeat	10	0.99991284	0.99991284	none
chrRepeat	11	0	0	none
chrRepeat	12	0	0	none
chrRepeat	13	0	0	none
chrRepeat	14	0	0	none
chrRepeat	15	0	0	none
chrRepeat	16	0	0	none
chrRepeat	17	0	0	none
chrRepeat	18	0	0	none
chrRepeat	19	0	0	none
chrRepeat	20	0	0	none
chrRepeat	21	0	0	none
chrRepeat	22	0.87861727	0.87861727	none
chrRepeat	23	0	0	none
chrRepeat	24	0	0	none
chrRepeat	25	0	0	none
chrRepeat	26	0	0	none
chrRepeat	27	0	0	none
chrRepeat	28	0	0	none
chrRepeat	29	0	0	none
chrRepeat	30	0	0	none
chrRepeat	31	0	0	none
chrRepeat	32	0	0	none
chrRepeat	33	0	0	none
chrRepeat	34	0	0	none
chrRepeat	35	0	0	none
chrRepeat	36	0	0	none
chrRepeat	37	0	0	none
chrRepeat	38	0	0	none
chrRepeat	39	0	0	none
chrRepeat	40	0	0	none
chrRepeat	41	0	0	none
chrRepeat	42	0	0	none
chrRepeat	43	0	0	none
chrRepeat	44	0	0	none
chrRepeat	45	0	0	none
chrRepeat	46	0	0	none
chrRepeat	47	0	0	none
chrRepeat	48	0	0	none
chrRepeat	49	0	0	none
chrRepeat	50	0	0	none
chrRepeat	51	0	0	none
chrRepeat	52	0	0	none
chrRepeat	53	0	0	none
chrRepeat	54	0	0	none
chrRepeat	55	0	0	none
chrRepeat	56	0	0	none
chrRepeat	57	0	0	none
chrRepeat	58	0	0	none
chrRepeat	59	0	0	none
chrRepeat	60	0	0	none
chrRepeat	61	0	0	none
chrRepeat	62	0	0	none
chrRepeat	63	0	0	none
chrRepeat	64	0	0	none
chrRepeat	65	0	0	none
chrRepeat	66	0	0	none
chrRepeat	67	0	0	none
chrRepeat	68	0	0	none
