contig	pos	smoothed_active_prob
chrLowC	1	0.01909098
chrLowC	2	0.01979735
chrLowC	3	0.02045894
chrLowC	4	0.02106961
chrLowC	5	0.02162356
chrLowC	6	0.02211541
chrLowC	7	0.02254033
chrLowC	8	0.02289405
chrLowC	9	0.02317300
chrLowC	10	0.02337432
chrLowC	11	0.02349596
chrLowC	12	0.02353665
chrLowC	13	0.02349596
chrLowC	14	0.02337432
chrLowC	15	0.02317300
chrLowC	16	0.02289405
chrLowC	17	0.02254033
chrLowC	18	0.02211541
chrLowC	19	0.02162356
chrLowC	20	0.02106961
chrLowC	21	0.02045894
chrLowC	22	0.01979735
chrLowC	23	0.01909098
chrLowC	24	0.01834622
chrLowC	25	0.01756962
chrLowC	26	0.01676776
chrLowC	27	0.01594723
chrLowC	28	0.01511446
chrLowC	29	0.01427570
chrLowC	30	0.01343690
