contig	chr1
contig_length	248956422
header_line_count	72
header_0	##reference=file://chr1.fa
header_1	##FORMAT=<ID=GT,Number=1,Type=String,Description="Genotype">
header_2	##FORMAT=<ID=GQ,Number=1,Type=Integer,Description="Genotype Quality">
header_3	##FORMAT=<ID=DP,Number=1,Type=Integer,Description="Read depth">
header_4	##FORMAT=<ID=MIN_DP,Number=1,Type=Integer,Description="Minimum DP">
header_5	##FORMAT=<ID=MAX_DP,Number=1,Type=Integer,Description="Maximum DP">
header_6	##INFO=<ID=END,Number=1,Type=Integer,Description="End coordinate">
header_7	##contig=<ID=chr1,length=248956422>
header_8	##GQB=1
header_9	##GQB=2
header_10	##GQB=3
header_11	##GQB=4
header_12	##GQB=5
header_13	##GQB=6
header_14	##GQB=7
header_15	##GQB=8
header_16	##GQB=9
header_17	##GQB=10
header_18	##GQB=11
header_19	##GQB=12
header_20	##GQB=13
header_21	##GQB=14
header_22	##GQB=15
header_23	##GQB=16
header_24	##GQB=17
header_25	##GQB=18
header_26	##GQB=19
header_27	##GQB=20
header_28	##GQB=21
header_29	##GQB=22
header_30	##GQB=23
header_31	##GQB=24
header_32	##GQB=25
header_33	##GQB=26
header_34	##GQB=27
header_35	##GQB=28
header_36	##GQB=29
header_37	##GQB=30
header_38	##GQB=31
header_39	##GQB=32
header_40	##GQB=33
header_41	##GQB=34
header_42	##GQB=35
header_43	##GQB=36
header_44	##GQB=37
header_45	##GQB=38
header_46	##GQB=39
header_47	##GQB=40
header_48	##GQB=41
header_49	##GQB=42
header_50	##GQB=43
header_51	##GQB=44
header_52	##GQB=45
header_53	##GQB=46
header_54	##GQB=47
header_55	##GQB=48
header_56	##GQB=49
header_57	##GQB=50
header_58	##GQB=51
header_59	##GQB=52
header_60	##GQB=53
header_61	##GQB=54
header_62	##GQB=55
header_63	##GQB=56
header_64	##GQB=57
header_65	##GQB=58
header_66	##GQB=59
header_67	##GQB=60
header_68	##GQB=70
header_69	##GQB=80
header_70	##GQB=90
header_71	##GQB=99
